type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,110,1001,雲林縣,臺西鄉
住宅竊盜,110,1001,新北市,新莊區
住宅竊盜,110,1001,臺北市,中山區
住宅竊盜,110,1001,臺北市,中山區
住宅竊盜,110,1001,苗栗縣,苑裡鎮
住宅竊盜,110,1002,臺中市,霧峰區
住宅竊盜,110,1002,屏東縣,東港鎮
住宅竊盜,110,1002,臺中市,東區
住宅竊盜,110,1002,苗栗縣,後龍鎮
住宅竊盜,110,1002,臺南市,安南區
住宅竊盜,110,1002,新北市,土城區
住宅竊盜,110,1003,臺北市,內湖區
住宅竊盜,110,1003,新竹縣,芎林鄉
住宅竊盜,110,1003,苗栗縣,頭份市
住宅竊盜,110,1004,臺南市,安南區
住宅竊盜,110,1004,基隆市,暖暖區
住宅竊盜,110,1004,新竹縣,新豐鄉
住宅竊盜,110,1004,花蓮縣,吉安鄉
住宅竊盜,110,1004,雲林縣,林內鄉
住宅竊盜,110,1004,臺北市,大同區
住宅竊盜,110,1005,桃園市,八德區
住宅竊盜,110,1005,新北市,新店區
住宅竊盜,110,1005,臺北市,內湖區
住宅竊盜,110,1006,南投縣,草屯鎮
住宅竊盜,110,1006,臺北市,南港區
住宅竊盜,110,1006,臺北市,萬華區
住宅竊盜,110,1007,苗栗縣,造橋鄉
住宅竊盜,110,1007,新北市,八里區
住宅竊盜,110,1007,新竹縣,芎林鄉
住宅竊盜,110,1007,新北市,新莊區
住宅竊盜,110,1007,南投縣,竹山鎮
住宅竊盜,110,1007,南投縣,竹山鎮
住宅竊盜,110,1007,新北市,樹林區
住宅竊盜,110,1008,新竹縣,關西鎮
住宅竊盜,110,1008,新北市,中和區
住宅竊盜,110,1008,新北市,板橋區
住宅竊盜,110,1008,臺南市,七股區
住宅竊盜,110,1008,南投縣,南投市
住宅竊盜,110,1009,苗栗縣,公館鄉
住宅竊盜,110,1009,臺北市,信義區
住宅竊盜,110,1009,臺北市,士林區
住宅竊盜,110,1009,臺北市,內湖區
住宅竊盜,110,1009,澎湖縣,馬公市
住宅竊盜,110,1010,苗栗縣,竹南鎮
住宅竊盜,110,1010,臺北市,北投區
住宅竊盜,110,1010,嘉義縣,民雄鄉
住宅竊盜,110,1010,雲林縣,東勢鄉
住宅竊盜,110,1010,澎湖縣,馬公市
住宅竊盜,110,1010,嘉義縣,布袋鎮
住宅竊盜,110,1010,新北市,板橋區
住宅竊盜,110,1010,苗栗縣,苗栗市
住宅竊盜,110,1010,新北市,金山區
住宅竊盜,110,1010,新北市,板橋區
住宅竊盜,110,1011,苗栗縣,竹南鎮
住宅竊盜,110,1011,南投縣,埔里鎮
住宅竊盜,110,1011,花蓮縣,吉安鄉
住宅竊盜,110,1011,新北市,三重區
住宅竊盜,110,1011,彰化縣,芳苑鄉
住宅竊盜,110,1011,基隆市,暖暖區
住宅竊盜,110,1011,雲林縣,麥寮鄉
住宅竊盜,110,1012,雲林縣,北港鎮
住宅竊盜,110,1012,澎湖縣,馬公市
住宅竊盜,110,1012,臺中市,北區
住宅竊盜,110,1012,彰化縣,和美鎮
住宅竊盜,110,1012,苗栗縣,頭屋鄉
住宅竊盜,110,1013,苗栗縣,造橋鄉
住宅竊盜,110,1013,雲林縣,二崙鄉
住宅竊盜,110,1013,臺北市,萬華區
住宅竊盜,110,1013,澎湖縣,馬公市
住宅竊盜,110,1013,南投縣,埔里鎮
住宅竊盜,110,1014,新北市,樹林區
住宅竊盜,110,1014,臺北市,松山區
住宅竊盜,110,1014,臺中市,西屯區
住宅竊盜,110,1015,雲林縣,四湖鄉
住宅竊盜,110,1015,苗栗縣,大湖鄉
住宅竊盜,110,1015,桃園市,觀音區
住宅竊盜,110,1015,新北市,中和區
住宅竊盜,110,1016,新北市,三重區
住宅竊盜,110,1016,新竹縣,關西鎮
住宅竊盜,110,1016,南投縣,南投市
住宅竊盜,110,1016,苗栗縣,苗栗市
住宅竊盜,110,1016,新北市,三重區
住宅竊盜,110,1016,南投縣,埔里鎮
住宅竊盜,110,1017,臺南市,北門區
住宅竊盜,110,1017,新竹縣,關西鎮
住宅竊盜,110,1017,新北市,三重區
住宅竊盜,110,1017,臺北市,大安區
住宅竊盜,110,1017,南投縣,埔里鎮
住宅竊盜,110,1017,臺南市,後壁區
住宅竊盜,110,1018,臺中市,神岡區
住宅竊盜,110,1018,屏東縣,林邊鄉
住宅竊盜,110,1018,新北市,中和區
住宅竊盜,110,1018,新竹縣,竹北市
住宅竊盜,110,1018,桃園市,桃園區
住宅竊盜,110,1019,新北市,三重區
住宅竊盜,110,1019,新北市,三重區
住宅竊盜,110,1019,臺南市,佳里區
住宅竊盜,110,1019,雲林縣,崙背鄉
住宅竊盜,110,1019,雲林縣,北港鎮
住宅竊盜,110,1019,桃園市,桃園區
住宅竊盜,110,1019,臺中市,豐原區
住宅竊盜,110,1020,臺中市,潭子區
住宅竊盜,110,1020,臺北市,萬華區
住宅竊盜,110,1020,新北市,三重區
住宅竊盜,110,1020,臺中市,豐原區
住宅竊盜,110,1020,雲林縣,四湖鄉
住宅竊盜,110,1021,臺中市,北屯區
住宅竊盜,110,1021,臺北市,中山區
住宅竊盜,110,1021,苗栗縣,後龍鎮
住宅竊盜,110,1021,新北市,新莊區
住宅竊盜,110,1022,花蓮縣,吉安鄉
住宅竊盜,110,1022,臺北市,文山區
住宅竊盜,110,1022,金門縣,金寧鄉
住宅竊盜,110,1022,臺北市,中山區
住宅竊盜,110,1022,基隆市,中山區
住宅竊盜,110,1023,臺南市,南區
住宅竊盜,110,1023,臺北市,中正區
住宅竊盜,110,1023,新北市,新莊區
住宅竊盜,110,1023,新北市,三重區
住宅竊盜,110,1023,臺南市,安平區
住宅竊盜,110,1023,嘉義市,西區
住宅竊盜,110,1023,桃園市,觀音區
住宅竊盜,110,1024,臺中市,烏日區
住宅竊盜,110,1024,南投縣,埔里鎮
住宅竊盜,110,1024,臺中市,潭子區
住宅竊盜,110,1025,嘉義市,東區
住宅竊盜,110,1025,臺北市,士林區
住宅竊盜,110,1025,南投縣,仁愛鄉
住宅竊盜,110,1025,新北市,三重區
住宅竊盜,110,1025,臺南市,南區
住宅竊盜,110,1026,南投縣,草屯鎮
住宅竊盜,110,1026,臺中市,東區
住宅竊盜,110,1027,新北市,汐止區
住宅竊盜,110,1027,澎湖縣,馬公市
住宅竊盜,110,1027,南投縣,草屯鎮
住宅竊盜,110,1027,臺北市,中山區
住宅竊盜,110,1027,臺南市,北區
住宅竊盜,110,1027,臺北市,大同區
住宅竊盜,110,1027,雲林縣,莿桐鄉
住宅竊盜,110,1028,新北市,樹林區
住宅竊盜,110,1028,新竹縣,關西鎮
住宅竊盜,110,1028,南投縣,埔里鎮
住宅竊盜,110,1028,雲林縣,斗六市
住宅竊盜,110,1028,新竹市,東區
住宅竊盜,110,1029,新竹縣,竹東鎮
住宅竊盜,110,1029,桃園市,龜山區
住宅竊盜,110,1029,新北市,三重區
住宅竊盜,110,1029,臺南市,關廟區
住宅竊盜,110,1029,臺北市,文山區
住宅竊盜,110,1029,南投縣,南投市
住宅竊盜,110,1030,臺南市,北區
住宅竊盜,110,1030,南投縣,草屯鎮
住宅竊盜,110,1030,臺中市,東區
住宅竊盜,110,1030,臺南市,安平區
住宅竊盜,110,1030,新北市,林口區
住宅竊盜,110,1031,臺北市,中正區
住宅竊盜,110,1031,臺南市,安南區
住宅竊盜,110,1031,臺北市,松山區
住宅竊盜,110,1031,臺南市,麻豆區
住宅竊盜,110,1101,南投縣,名間鄉
住宅竊盜,110,1101,新北市,萬里區
住宅竊盜,110,1101,新竹縣,新埔鎮
住宅竊盜,110,1101,澎湖縣,湖西鄉
住宅竊盜,110,1101,南投縣,草屯鎮
住宅竊盜,110,1101,臺南市,南區
住宅竊盜,110,1102,新北市,新莊區
住宅竊盜,110,1102,苗栗縣,苗栗市
住宅竊盜,110,1103,苗栗縣,苗栗市
住宅竊盜,110,1103,南投縣,埔里鎮
住宅竊盜,110,1103,雲林縣,水林鄉
住宅竊盜,110,1104,臺北市,萬華區
住宅竊盜,110,1104,新竹縣,竹北市
住宅竊盜,110,1104,新竹市,東區
住宅竊盜,110,1104,雲林縣,麥寮鄉
