type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,113,1001,南投縣,草屯鎮
住宅竊盜,113,1001,南投縣,竹山鎮
住宅竊盜,113,1001,雲林縣,臺西鄉
住宅竊盜,113,1001,澎湖縣,馬公市
住宅竊盜,113,1001,基隆市,安樂區
住宅竊盜,113,1001,基隆市,安樂區
住宅竊盜,113,1001,臺北市,松山區
住宅竊盜,113,1001,臺北市,中正區
住宅竊盜,113,1001,臺北市,中正區
住宅竊盜,113,1001,新北市,新莊區
住宅竊盜,113,1001,新北市,新店區
住宅竊盜,113,1001,新北市,新店區
住宅竊盜,113,1001,新北市,蘆洲區
住宅竊盜,113,1001,新北市,泰山區
住宅竊盜,113,1001,臺中市,西屯區
住宅竊盜,113,1001,臺中市,烏日區
住宅竊盜,113,1001,臺中市,太平區
住宅竊盜,113,1001,臺中市,和平區
住宅竊盜,113,1001,臺南市,學甲區
住宅竊盜,113,1001,桃園市,中壢區
住宅竊盜,113,1001,桃園市,龜山區
住宅竊盜,113,1002,新竹縣,湖口鄉
住宅竊盜,113,1002,南投縣,埔里鎮
住宅竊盜,113,1002,雲林縣,四湖鄉
住宅竊盜,113,1002,臺東縣,成功鎮
住宅竊盜,113,1002,新北市,新莊區
住宅竊盜,113,1002,新北市,淡水區
住宅竊盜,113,1002,新北市,汐止區
住宅竊盜,113,1002,新北市,蘆洲區
住宅竊盜,113,1002,新北市,八里區
住宅竊盜,113,1002,桃園市,楊梅區
住宅竊盜,113,1002,桃園市,八德區
住宅竊盜,113,1002,桃園市,觀音區
住宅竊盜,113,1003,南投縣,埔里鎮
住宅竊盜,113,1003,臺北市,士林區
住宅竊盜,113,1003,臺北市,士林區
住宅竊盜,113,1003,新北市,新莊區
住宅竊盜,113,1003,新北市,淡水區
住宅竊盜,113,1003,新北市,淡水區
住宅竊盜,113,1003,桃園市,蘆竹區
住宅竊盜,113,1004,金門縣,金寧鄉
住宅竊盜,113,1004,新竹縣,湖口鄉
住宅竊盜,113,1004,新竹縣,新豐鄉
住宅竊盜,113,1004,南投縣,國姓鄉
住宅竊盜,113,1004,臺北市,大安區
住宅竊盜,113,1004,臺北市,中山區
住宅竊盜,113,1004,新北市,新莊區
住宅竊盜,113,1004,新北市,淡水區
住宅竊盜,113,1004,新北市,淡水區
住宅竊盜,113,1004,新北市,五股區
住宅竊盜,113,1004,新北市,林口區
住宅竊盜,113,1004,臺中市,大雅區
住宅竊盜,113,1004,桃園市,平鎮區
住宅竊盜,113,1005,南投縣,魚池鄉
住宅竊盜,113,1005,新北市,淡水區
住宅竊盜,113,1005,新北市,淡水區
住宅竊盜,113,1005,新北市,淡水區
住宅竊盜,113,1005,臺南市,學甲區
住宅竊盜,113,1005,桃園市,楊梅區
住宅竊盜,113,1005,桃園市,八德區
住宅竊盜,113,1005,桃園市,龍潭區
住宅竊盜,113,1005,桃園市,新屋區
住宅竊盜,113,1005,桃園市,觀音區
住宅竊盜,113,1006,新竹縣,新豐鄉
住宅竊盜,113,1006,苗栗縣,銅鑼鄉
住宅竊盜,113,1006,苗栗縣,三義鄉
住宅竊盜,113,1006,南投縣,竹山鎮
住宅竊盜,113,1006,雲林縣,斗六市
住宅竊盜,113,1006,雲林縣,斗六市
住宅竊盜,113,1006,基隆市,安樂區
